name,series_id,serial_number,rarity
"Seishirou, Lovesick",7,NK/W30-037,U
Pendant of Promise,7,NK/W30-046,U
Poker Face!?,7,NK/W30-047,U
"Chitoge, First Love",7,NK/W30-058,U
"Marika, Tilting Her Head",7,NK/W30-059,U
"Chitoge, Words of Promise",7,NK/W30-060,U
"Marika, Lovely Lady",7,NK/W30-061,U
"Marika, Promise of Date",7,NK/W30-062,U
Pendant of Promise,7,NK/W30-071,U
For You...,7,NK/W30-072,U
"Ruri, Kosaki's Dear Friend",7,NK/W30-083,U
Raku Being Similar,7,NK/W30-084,U
"Marika, Mischievous Kiss",7,NK/W30-085,U
"Kosaki, Progression of the Two",7,NK/W30-086,U
"Kosaki, Tilting Head",7,NK/W30-087,U
"Kosaki, Fictitious Love!?",7,NK/W30-088,U
Pendant of Promise,7,NK/W30-097,U
"Kagamine Len ""School Jersey""",8,PD/S29-014,C
"Hatsune Miku ""Street Pop""",8,PD/S29-015,C
"Kagamine Rin ""Soleil""",8,PD/S29-016,C
"Kagamine Len ""Ciel""",8,PD/S29-017,C
"Kagamine Rin ""Cheerful Candy""",8,PD/S29-018,C
"Hatsune Miku ""Colorful Drop""",8,PD/S29-019,C
Envy Catwalk,8,PD/S29-021,C
"Hatsune Miku ""Cat Girl""",8,PD/S29-040,C
"Hatsune Miku ""Noble""",8,PD/S29-041,C
"Hatsune Miku ""Dimension""",8,PD/S29-042,C
"Hatsune Miku ""Gothic""",8,PD/S29-043,C
"Hatsune Miku ""Natural""",8,PD/S29-044,C
"Hatsune Miku ""Heart Hunter""",8,PD/S29-045,C
"Hatsune Miku ""Conflict""",8,PD/S29-046,C
"Hatsune Miku ""Stroll Style""",8,PD/S29-047,C
Melt,8,PD/S29-050,C
Miracle Paint,8,PD/S29-051,C
"MEIKO ""Marine Ribbon""",8,PD/S29-072,C
"Hatsune Miku ""Butterfly""",8,PD/S29-073,C
"Megurine Luka ""Flower""",8,PD/S29-074,C
"Hatsune Miku ""Miku Hood""",8,PD/S29-075,C
"MEIKO ""Fluffy Coat""",8,PD/S29-076,C
"Megurine Luka ""VF Suit""",8,PD/S29-077,C
"Megurine Luka ""Recruitor""",8,PD/S29-078,C
"MEIKO ""Lorelei""",8,PD/S29-079,C
"Hatsune Miku ""Avant-Garde""",8,PD/S29-080,C
"Megurine Luka ""Successor""",8,PD/S29-081,C
World is Mine,8,PD/S29-083,C
"KAITO ""White Blazer""",8,PD/S29-102,C
"Hatsune Miku ""Flower Language""",8,PD/S29-103,C
"Hatsune Miku ""Flower Carriage""",8,PD/S29-104,C
"Hatsune Miku ""Regret""",8,PD/S29-105,C
"Hatsune Miku ""Moonlight Swallowtail""",8,PD/S29-107,C
"Kagamine Rin ""Sunflower""",8,PD/S29-108,C
"Kagamine Len ""Ayasaki""",8,PD/S29-109,C
"KAITO ""Cyber Cat""",8,PD/S29-110,C
Knife,8,PD/S29-112,C
Meltdown,8,PD/S29-024,CC
Paradichlorobenzene,8,PD/S29-025,CC
SPiCa - 39's Giving Day Edition-,8,PD/S29-054,CC
DECORATOR,8,PD/S29-055,CC
Glory 3usi9,8,PD/S29-056,CC
Luka Luka Night Fever,8,PD/S29-086,CC
A Thousand Year Solo (DIVA edit),8,PD/S29-115,CC
erase or zero,8,PD/S29-116,CC
Kokoro,8,PD/S29-022,CR
soundless voice,8,PD/S29-023,CR
Packaged,8,PD/S29-052,CR
Double-Sided Lovers,8,PD/S29-053,CR
Double Lariat,8,PD/S29-084,CR
"Destroy, Destroy",8,PD/S29-085,CR
Cantarella ~grace edition~,8,PD/S29-113,CR
Romeo And Cinderella,8,PD/S29-114,CR
Meteor,8,PD/S29-121,PR
Rain of Cherry Blossoms,8,PD/S29-122,PR
"Hello, Worker",8,PD/S29-123,PR
Two-Breaths Walking,8,PD/S29-124,PR
Clover Club,8,PD/S29-125,PR
"Hold, Release, Rakshasa and Carcasses",8,PD/S29-126,PR
Puppet Clown,8,PD/S29-127,PR
Pinky Promise,8,PD/S29-128,PR
"Hatsune Miku, Deeper ""DIVA""",8,PD/S29-P01,PR
"Hatsune Miku with PD-001 ""Full Frame""",8,PD/S29-P02,PR
"Hatsune Miku with PD-002 ""Under Rim""",8,PD/S29-P03,PR
"Like, Dislike",8,PD/S29-117,PR
Doubleganger,8,PD/S29-118,PR
This is the Happiness & Peace of Mind Committee,8,PD/S29-119,PR
This is the Happiness & Peace of Mind Committee,8,PD/S29-120,PR
"Kagamine Rin ""Kagerou""",8,PD/S29-004,R
"Kagamine Len ""Punkish""",8,PD/S29-005,R
"Kagamine Len ""Strange Dark""",8,PD/S29-006,R
"Kagamine Rin ""Dreaming Panda""",8,PD/S29-007,R
"Hatsune Miku ""White Dress""",8,PD/S29-030,R
"Hatsune Miku ""School""",8,PD/S29-031,R
"Hatsune Miku ""Orange Blossom""",8,PD/S29-032,R
"Hatsune Miku ""Orbit""",8,PD/S29-033,R
"Hatsune Miku ""Siren""",8,PD/S29-034,R
"Hatsune Miku ""Seven-Colored Line""",8,PD/S29-035,R
Hatsune Miku no Gekishou,8,PD/S29-048,R
"Megurine Luka ""Witch Girl Style""",8,PD/S29-060,R
"Hatsune Miku ""Bless You""",8,PD/S29-061,R
"Sakune Meiko ""Original""",8,PD/S29-062,R
"MEIKO ""Crimson Leaves""",8,PD/S29-063,R
"KAITO ""Original"" (F 2nd)",8,PD/S29-092,R
"KAITO ""Autumn Shower""",8,PD/S29-093,R
"Kagamine Rin ""Reactor""",8,PD/S29-002,RR
"Kagamine Len ""Original"" (F 2nd)",8,PD/S29-003,RR
"Hatsune Miku ""Magician""",8,PD/S29-028,RR
"Hatsune Miku ""V3""",8,PD/S29-029,RR
"Megurine Luka ""Cybernation""",8,PD/S29-058,RR
"MEIKO ""Original"" (F 2nd)",8,PD/S29-059,RR
"""Reaching Everywhere"" Hatsune Miku",8,PD/S29-088,RR
"KAITO ""V3""",8,PD/S29-089,RR
"Kagamine Rin ""Original"" (F 2nd)",8,PD/S29-001,RR+
"Hatsune Miku, Resonating ""DIVA""",8,PD/S29-026,RR+
"""Always Ringing"" Hatsune Miku",8,PD/S29-027,RR+
"Megurine Luka ""Original"" (F 2nd)",8,PD/S29-057,RR+
"Kagamine Len ""White Bear in Love""",8,PD/S29-008,U
"Kagamine Rin ""Fairy Dress""",8,PD/S29-009,U
"Kagamine Rin ""Faker""",8,PD/S29-010,U
"Hatsune Miku ""Liar""",8,PD/S29-011,U
"Kagamine Len ""White Edge""",8,PD/S29-012,U
"Hatsune Miku ""Flouncy Pastel""",8,PD/S29-036,U
"Hatsune Miku ""Infinity""",8,PD/S29-037,U
"Hatsune Miku ""Meteorite""",8,PD/S29-038,U
Miku Miku ni Shite Ageru~ (Shite Yanyo),8,PD/S29-039,U
Two Dimension Dream Fever,8,PD/S29-049,U
"Megurine Luka ""Floral""",8,PD/S29-065,U
"Megurine Luka ""Fraulein""",8,PD/S29-066,U
"MEIKO ""Scarlet""",8,PD/S29-067,U
"Hatsune Miku ""Supreme""",8,PD/S29-068,U
"MEIKO ""Taisei Romance""",8,PD/S29-069,U
"MEIKO ""Blazing""",8,PD/S29-070,U
"Megurine Luka ""Hard Rock""",8,PD/S29-071,U
Blackjack,8,PD/S29-082,U
"KAITO ""Holiday""",8,PD/S29-094,U
"Hatsune Miku ""VintageDress""",8,PD/S29-097,U
"KAITO ""Originator""",8,PD/S29-098,U
"Kagamine Len ""Eraser""",8,PD/S29-099,U
"KAITO ""Violet""",8,PD/S29-100,U
"Hatsune Miku ""Rasetsu And Mukuro""",8,PD/S29-101,U
Pair of Wintry Winds,8,PD/S29-111,U
Erina Toudou,9,LL/WE19-10,C
Anju Yuuki,9,LL/WE19-11,C
Tsubasa Kira,9,LL/WE19-12,C
"""Towards the Dream"" Myu's",9,LL/WE19-13,C
Slump,9,LL/WE19-14,C
That Is Our Miracle,9,LL/WE19-15,C
"Always, No Matter What",9,LL/WE19-16,C
Door of Dreams,9,LL/WE19-17,C
Shocking Party,9,LL/WE19-18,C
"Honoka, Student Council President",9,LL/WE19-19,C
"Kotori, Designer",9,LL/WE19-20,C
"Umi, Attack on Summit",9,LL/WE19-21,C
"""Good Idea"" Eri",9,LL/WE19-22,C
"Nozomi, Thinking of Underclassmen",9,LL/WE19-23,C
"Niko, Proud of Lyrics",9,LL/WE19-24,C
"Hanayo, Discovered Idol!",9,LL/WE19-25,C
"Maki, Creating Melody",9,LL/WE19-26,C
"Rin, Crying Hard",9,LL/WE19-27,C
"""That Is Our Miracle"" Niko Yazawa",9,LL/WE19-01,R
"""That Is Our Miracle"" Kotori Minami",9,LL/WE19-02,R
"""That Is Our Miracle"" Honoka Kousaka",9,LL/WE19-03,R
"""That Is Our Miracle"" Maki Nishikino",9,LL/WE19-04,R
"""That Is Our Miracle"" Nozomi Toujou",9,LL/WE19-05,R
"""That Is Our Miracle"" Umi Sonoda",9,LL/WE19-06,R
"""That Is Our Miracle"" Hanayo Koizumi",9,LL/WE19-07,R
"""That Is Our Miracle"" Rin Hoshizora",9,LL/WE19-08,R
"""That Is Our Miracle"" Eri Ayase",9,LL/WE19-09,R
Rundelhaus,11,LH/SE20-16,C
"Serara, Loves Nyanta-san",11,LH/SE20-17,C
"Marielle, Owner of Crescent Moon",11,LH/SE20-18,C
Shouryu,11,LH/SE20-19,C
Puchi Akatsuki,11,LH/SE20-20,C
"Marielle, Cleric",11,LH/SE20-21,C
"Isuzu, Bard",11,LH/SE20-22,C
Akatsuki-chan Changed Clothes,11,LH/SE20-23,C
Two's Waltz,11,LH/SE20-24,C
Crescent Moon Alliance,11,LH/SE20-25,C
"Minori, Maiden's Heart",11,LH/SE20-41,C
Puchi Naotsugu,11,LH/SE20-42,C
"Touya, Samurai",11,LH/SE20-43,C
Touya,11,LH/SE20-44,C
Puchi Shiroe,11,LH/SE20-45,C
"Shiroe, Scribe",11,LH/SE20-46,C
Isaac,11,LH/SE20-47,C
Mind Shock,11,LH/SE20-48,C
Log Horizon,11,LH/SE20-49,C
Simplified Full Control Encount,11,LH/SE20-50,C
"Akatsuki, Clasping Hands",11,LH/SE20-P01,PR
"Shiroe, Clasping Hands",11,LH/SE20-P02,PR
Nureha,11,LH/SE20-P03,PR
"Minori, Apprentice Magician",11,LH/SE20-P04,PR
"Serara, Crescent Moon Alliance",11,LH/SE20-04,R
Isuzu,11,LH/SE20-05,R
"Akatsuki, Not Good at Dressing Herself?",11,LH/SE20-06,R
"Rundelhaus, Adventurer",11,LH/SE20-07,R
Serara,11,LH/SE20-08,R
"Akatsuki, Maiden's Heart",11,LH/SE20-09,R
"Shiroe, Full Control Encount",11,LH/SE20-29,R
"Shiroe, Two's Waltz",11,LH/SE20-30,R
"Nyanta, Log Horizon",11,LH/SE20-31,R
"Shiroe, Determination to Change the World",11,LH/SE20-32,R
"Naotsugu, Reliable Partner",11,LH/SE20-33,R
"Naotsugu, Guardian",11,LH/SE20-34,R
"Marielle, Nagisa's Angel",11,LH/SE20-01,RR
"Akatsuki, Assassin",11,LH/SE20-02,RR
"Akatsuki, Master's Ninja",11,LH/SE20-03,RR
Nyanta,11,LH/SE20-26,RR
"Minori, Field Monitor",11,LH/SE20-27,RR
"Shiroe, Log Horizon Representative",11,LH/SE20-28,RR
"Serara, Druid",11,LH/SE20-T01,TD
Akatsuki,11,LH/SE20-T02,TD
Marielle Using Telepathy,11,LH/SE20-T03,TD
"Akatsuki, Actually A Pretty Girl",11,LH/SE20-T04,TD
"Akatsuki, Blushing",11,LH/SE20-T05,TD
"Henrietta, Treasurer of Crescent Moon Alliance",11,LH/SE20-T06,TD
"Marielle, Representative of Crescent Moon Alliance",11,LH/SE20-T07,TD
Akatsuki Angered,11,LH/SE20-T08,TD
Assassinate,11,LH/SE20-T09,TD
Nyanta the Cook,11,LH/SE20-T10,TD
"Shiroe, Riding a Griffon",11,LH/SE20-T11,TD
"Nyanta, Swashbuckler",11,LH/SE20-T12,TD
"Naotsugu, First Actual Battle",11,LH/SE20-T13,TD
"Shiroe, Confident Look",11,LH/SE20-T14,TD
Shiroe,11,LH/SE20-T15,TD
Naotsugu,11,LH/SE20-T16,TD
"Shiroe, Enchanter",11,LH/SE20-T17,TD
Enchanter's Support,11,LH/SE20-T18,TD
Delicate Combination,11,LH/SE20-T19,TD
First Loot,11,LH/SE20-T20,TD
"Isuzu, Rudy's Owner?",11,LH/SE20-10,U
"Akatsuki, Two's Waltz",11,LH/SE20-11,U
Henrietta,11,LH/SE20-12,U
"Henrietta, Reliable Accountant",11,LH/SE20-13,U
"Akatsuki, Quiet Worker",11,LH/SE20-14,U
"Rundelhaus, Sorcerer",11,LH/SE20-15,U
"Shiroe, Guildmaster",11,LH/SE20-35,U
Lenessia,11,LH/SE20-36,U
Soujirou,11,LH/SE20-37,U
"Nyanta, Everyone's Chief",11,LH/SE20-38,U
Crusty,11,LH/SE20-39,U
Minori,11,LH/SE20-40,U
"Sukuyo, ""Super"" at-Her-Own-Pace Mother",12,KLK/S27-011,C
"Guts, Following Along",12,KLK/S27-012,C
Mako with Glasses,12,KLK/S27-013,C
"Matarou, Bad Child in the Wrong Time Period",12,KLK/S27-014,C
"Ryuko, Freeloading at Mankanshoku Family",12,KLK/S27-015,C
"Barazou, Town's Illegitimate Doctor",12,KLK/S27-016,C
"Nui, Being Whimsy",12,KLK/S27-032,C
"Oogure, Moral Committee Trap Developer",12,KLK/S27-033,C
"Ragyo, Satsuki's Mother",12,KLK/S27-034,C
"Hakodate, Tennis Club PResident",12,KLK/S27-035,C
"Fukuroda, Boxing Club President",12,KLK/S27-036,C
"Nui, Mysterious Girl",12,KLK/S27-037,C
"Ryuko, Searching for ""Single Bladed Scissor Girl""",12,KLK/S27-056,C
"Mako, Next Seat Over",12,KLK/S27-057,C
"Ryuko, Transfer Student",12,KLK/S27-058,C
"Senketsu, Talking Sailor Uniform",12,KLK/S27-059,C
"Takarada, Nanba Kinman High School",12,KLK/S27-060,C
"Ryuko, Power with Senketsu",12,KLK/S27-061,C
"Satsuki, Looking up at the Sky",12,KLK/S27-062,C
"Mikisugi, Nude Nudist",12,KLK/S27-063,C
"Ryuko, Related by Blood ",12,KLK/S27-064,C
"Mikisugi, Mysterious Man",12,KLK/S27-065,C
"Soroi, Satsuki's Butler",12,KLK/S27-085,C
"Satsuki, on Top of the Skyscraper",12,KLK/S27-086,C
"Inumuta, Elite Four of the Student Council",12,KLK/S27-087,C
"Jakuzure, Elite Four of the Student Council",12,KLK/S27-088,C
"Satsuki, Absolute Terror",12,KLK/S27-089,C
"Gamogouri, Metamorphosis While Transforming",12,KLK/S27-090,C
"Sanageyama, Elite Four of the Student Council",12,KLK/S27-091,C
"Gamagouri, Elite Four of the Student Council",12,KLK/S27-092,C
"Inumuta, Data Belief",12,KLK/S27-093,C
"Satsuki, Smiling",12,KLK/S27-094,C
Itadakima-su!,12,KLK/S27-020,CC
"Shinra-Koketsu, Absolute Domination!",12,KLK/S27-040,CC
Fated Battle,12,KLK/S27-069,CC
"Life Fiber Synchronize, Kamui Senketsu!",12,KLK/S27-070,CC
There Are No Gaps in My Actions!,12,KLK/S27-098,CC
"Life Fiber Override, Kamui Junketsu!",12,KLK/S27-099,CC
"Honnouji Elite Four, Final Form Outfit!",12,KLK/S27-100,CC
"I Said, It's My Turn!",12,KLK/S27-019,CR
Unexpected Confession,12,KLK/S27-039,CR
Graduating from Sailor Uniform,12,KLK/S27-068,CR
To Honnouji Academy,12,KLK/S27-097,CR
Chibi Mako,12,KLK/S27-101,PR
Chibi Ryuko,12,KLK/S27-102,PR
"Chibi ""Life Fiber Synchronization"" Ryuko",12,KLK/S27-103,PR
Chibi Satsuki,12,KLK/S27-104,PR
Ryuko in Swimsuit,12,KLK/S27-P01,PR
"Senketsu, Date with Ryuko",12,KLK/S27-P02,PR
Confused Mankashoku Family,12,KLK/S27-P03,PR
"Mako, Worrying",12,KLK/S27-003,R
"Mako, Fighting Club President",12,KLK/S27-004,R
"Mako, Sightseeing in Osaka",12,KLK/S27-005,R
Ryuko of 2-A,12,KLK/S27-006,R
"Ryuko, Fighting Club Member",12,KLK/S27-007,R
"Nui, Pulling Threads",12,KLK/S27-023,R
"Nui, Owner of Scissors",12,KLK/S27-024,R
"Nui, Passing by",12,KLK/S27-025,R
"Ragyo, CEO of REVOCS",12,KLK/S27-026,R
"Ryuko, Deepening Bond",12,KLK/S27-043,R
"Ryuko, Re-Capturing Senketsu!",12,KLK/S27-044,R
"Senketsu, Ryuko's Outfit",12,KLK/S27-045,R
"Ryuko, First Encounter with Senketsu",12,KLK/S27-046,R
"""Berserk"" Ryuko",12,KLK/S27-047,R
"Ryuko, Declaration of War!",12,KLK/S27-048,R
"Satsuki, Before the Final Battle",12,KLK/S27-073,R
"Satsuki, First Step to the Goal",12,KLK/S27-074,R
"Inumuta, Genius Hacker",12,KLK/S27-075,R
"Satsuki, Incredible Spirit",12,KLK/S27-076,R
"Satsuki, High Goal",12,KLK/S27-077,R
"Jakuzure, Satsuki's Childhood Friend",12,KLK/S27-078,R
"Mako, Not-so-great Daughter of Illegitimate Doctor",12,KLK/S27-001,RR
"Mako, Can't Be Stopped",12,KLK/S27-002,RR
"Ragyo, Planning for Birth of Cocoon Planet",12,KLK/S27-021,RR
"Nui, Threaded Gears of Fate",12,KLK/S27-022,RR
"Ryuko, to a New Self",12,KLK/S27-041,RR
"Ryuko, Decided to Wear and Finish the Fight!",12,KLK/S27-042,RR
"Satsuki, Being Ambitious",12,KLK/S27-071,RR
"Satsuki, For the World Wishing to Protect",12,KLK/S27-072,RR
"Mako, Next Seat Over",12,KLK/S27-T01,TD
"Ryuko, Transfer Student",12,KLK/S27-T02,TD
"Senketsu, Talking Sailor Uniform",12,KLK/S27-T03,TD
"Ryuko, Power with Senketsu",12,KLK/S27-T04,TD
"Ryuko, Related by Blood",12,KLK/S27-T05,TD
"Mikisugi, Mysterious Man",12,KLK/S27-T06,TD
Red Gauntlet,12,KLK/S27-T07,TD
"Life Fiber Synchronize, Kamui Senketsu!",12,KLK/S27-T08,TD
"Inumuta, Elite Four of the Student Council",12,KLK/S27-T09,TD
"Jakuzure, Elite Four of the Student Council",12,KLK/S27-T10,TD
"Satsuki, Absolute Terror",12,KLK/S27-T11,TD
"Sanageyama, Elite Four of the Student Council",12,KLK/S27-T12,TD
"Gamagouri, Elite Four of the Student Council",12,KLK/S27-T13,TD
There Are No Gaps in My Actions!,12,KLK/S27-T14,TD
"Life Fiber Override, Kamui Junketsu!",12,KLK/S27-T15,TD
"Ryuko, Wandering Female High School Student",12,KLK/S27-T16,TD
"Satsuki, Bearer of the Other Kamui",12,KLK/S27-T17,TD
"Mako, ""Super"" Extremely Natural Girl",12,KLK/S27-T18,TD
"""Best Friends"" Ryuko & Mako",12,KLK/S27-T19,TD
"Satsuki, Controlling Student Council President",12,KLK/S27-T20,TD
Ryuko in Pajama,12,KLK/S27-008,U
"Mako, Unmoving",12,KLK/S27-009,U
"Mako, Eating Croquette",12,KLK/S27-010,U
Strange Croquette,12,KLK/S27-017,U
Classic Trap,12,KLK/S27-018,U
"Nui, Grand Couture",12,KLK/S27-027,U
"Kuroido, Top Butler of Kiryuin Family",12,KLK/S27-028,U
"""Mental Refitting"" Ragyo",12,KLK/S27-029,U
"Nui, Ready-Made",12,KLK/S27-030,U
"Hououmaru, Secretary of Ragyo",12,KLK/S27-031,U
Disguise,12,KLK/S27-038,U
"Isshin, Ryuko's Father",12,KLK/S27-049,U
"Satsuki, Alongside Senketsu",12,KLK/S27-050,U
"Ryuko, Wearing Junketsu",12,KLK/S27-051,U
"Kinagase, Member of Nudist Beach",12,KLK/S27-052,U
"Senketsu, Voice Heard",12,KLK/S27-053,U
"Mako, Same Feelings!",12,KLK/S27-054,U
"Satsuki, Wearing Senketsu",12,KLK/S27-055,U
Junketsu,12,KLK/S27-066,U
Red Gauntlet,12,KLK/S27-067,U
"Iori, Sewing Club President",12,KLK/S27-079,U
"Gamagouri, Keeping the Moral",12,KLK/S27-080,U
"Sanageyama, Family Makes Konjac",12,KLK/S27-081,U
"Jakuzure, to the Start of the Song",12,KLK/S27-082,U
"Satsuki, Seeking for a Chance for Victory",12,KLK/S27-083,U
"Sanageyama, Shingantsu Stronger than Tengantsu",12,KLK/S27-084,U
Junketsu,12,KLK/S27-095,U
Soroi's Black Tea,12,KLK/S27-096,U
"""Hotcake Party"" Komari",13,LB/WE18-09,C
"""Painful Decision"" Kyousuke",13,LB/WE18-10,C
"""A Page of Juvenile Life"" Riki",13,LB/WE18-11,C
"Rin, Working Hard",13,LB/WE18-12,C
I Want to Meet You All.,13,LB/WE18-14,C
We Should Date,13,LB/WE18-15,C
"""To Outside This World"" Kud",13,LB/WE18-23,C
"""Scrupulous"" Sasami",13,LB/WE18-24,C
"""Something to Protect"" Kengo",13,LB/WE18-25,C
"""To Outside This World"" Haruka",13,LB/WE18-26,C
"""Everyone Together"" Rin",13,LB/WE18-27,C
To Find What Was Lost.,13,LB/WE18-28,C
"""Serious"" Kanata",13,LB/WE18-35,C
"""Empty Feelings"" Yuiko",13,LB/WE18-36,C
"""Hotcake Party"" Mio",13,LB/WE18-37,C
"""Important Dear Friend"" Masato",13,LB/WE18-38,C
Forget-me-not,13,LB/WE18-40,C
"""Frivolous"" A-chan Senpai",13,LB/WE18-47,C
"Saya, Taking a Bath",13,LB/WE18-48,C
Final Battle,13,LB/WE18-50,C
"""What I Can Do Now"" Riki",13,LB/WE18-02,R
"""Sunset-colored Feelings"" Rin",13,LB/WE18-03,R
"""The End And the Beginning"" Kyousuke",13,LB/WE18-04,R
"""To Outside This World"" Komari",13,LB/WE18-05,R
"""Loves Big Sister"" Haruka",13,LB/WE18-17,R
"""Fun Life"" Rin",13,LB/WE18-18,R
"""Fun Life"" Kud",13,LB/WE18-19,R
"""What I Can Do Now"" Rin",13,LB/WE18-20,R
"""To Outside This World"" Mio",13,LB/WE18-31,R
"""Everlasting Dream"" Yuiko",13,LB/WE18-32,R
"""Repeated Scenery"" Saya",13,LB/WE18-43,R
"""Partners on the Battlefield"" Riki & Saya",13,LB/WE18-44,R
"""Irreplaceable Time"" Rin",13,LB/WE18-01,RR
"""Words of Reunion"" Sasami",13,LB/WE18-16,RR
"""Continuation of Dream"" Yuiko",13,LB/WE18-29,RR
"""Peaceful Days"" Kanata",13,LB/WE18-30,RR
"""Kind World"" Saya",13,LB/WE18-41,RR
"""Last Moments"" Saya",13,LB/WE18-42,RR
"""Returned Leader"" Kyousuke",13,LB/WE18-06,U
"""Hotcake Party"" Rin",13,LB/WE18-07,U
"""Last Scenery"" Komari",13,LB/WE18-08,U
